PID	mtc_mock_even_hc
PWY-681	1
LEU-DEG2-PWY	32
PWY-5746	1
P124-PWY	3
P164-PWY	3
PWY-5490	2
PWY-5493	37
PWY-6326	5
PWY-5326	5
PWY-5497	18
PWY490-4	49
PWY490-5	1
PWY-6328	1
TOLUENE-DEG-4-OH-PWY	3
PWY-5086	8
PWY-5087	5
PWY-5084	45
PWY490-3	4
PWY-5913	39
PWY-5915	4
PYRIDOXSYN-PWY	66
PWY-5917	7
P662-PWY	1
PYRIDNUCSAL-PWY	61
PWY-6193	25
PWY3O-440	1
ILEUSYN-PWY	81
THIOREDOX-PWY	80
PWY0-1305	14
PWY0-1306	1
PWY0-1300	8
PWY-5142	12
PWY-5668	80
PWY-5669	60
PWY-5667	85
PWY-5298	4
PWY0-1309	9
PWY-5148	32
PWY-4621	14
PWY-6435	2
PWY-6000	3
PWY-6430	12
COA-PWY	80
PWY-6578	9
XYLCAT-PWY	33
PWY-5939	10
PWY-5989	65
PWY-5988	61
PWY-6279	5
PWY0-1490	1
P108-PWY	31
PWY-5986	48
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	36
NAD-BIOSYNTHESIS-III	2
CENTBENZCOA-PWY	4
ASPARTATESYN-PWY	37
PWY-4921	9
FERMENTATION-PWY	80
GLUGLNSYN-PWY	6
PWY0-1275	23
PWY490-7	1
PARATHION-DEGRADATION-PWY	2
PWY-2661	35
PWY-6507	14
GLYOXDEG-PWY	17
PWY-2161B	39
PWY-4341	33
NAD-BIOSYNTHESIS-II	44
PWY5F9-3233	3
MALTOSECAT-PWY	6
PWY-4561	8
CENTFERM-PWY	29
PWY-1281	1
GLYCLEAV-PWY	52
PWY0-1468	1
PWY-6143	1
PWY-6147	80
PWY-702	1
CATECHOL-ORTHO-CLEAVAGE-PWY	15
DARABITOLUTIL-PWY	2
PWY-3982	15
PWY0-461	22
PWY-4081	29
PWY0-1280	2
SALVPURINE2-PWY	59
ENTBACSYN-PWY	2
PWY-5929	1
P345-PWY	44
PWY-5076	1
PWY-5344	56
PWY-3801	1
PWY-5364	14
PWY-301	1
PWY-5046	21
PWY-5921	55
P1-PWY	87
PWY-4101	12
PWY-5041	21
PWY-5028	14
PWY-5951	1
PWY-5436	10
PANTO-PWY	77
TEICHOICACID-PWY	16
PWY-6215	14
PWY-1781	9
PWY0-381	59
LIPA-CORESYN-PWY	21
PWY-4381	6
P222-PWY	7
PWY-5448	11
PWY-5027	5
PWY-3722	16
PWY-5189	8
PWY-5188	59
AMMOXID-PWY	7
PWY-5740	8
PWY-6470	11
ARGSYNBSUB-PWY	56
PWY-5744	1
PWY-5747	1
PWY-6475	23
PWY-6519	15
PWY-6478	20
PWY-5366	3
PWY-6374	4
PWY-6518	4
PWY-1341	19
PWY-2301	38
FASYN-ELONG-PWY	82
PWY-6277	51
PWYQT-4429	32
GLUTAMATE-SYN2-PWY	7
GALACTCAT-PWY	10
PWY-6529	1
THREONINE-DEG2-PWY	37
PARATHION-CATABOLISM-PWY	2
PWY-5698	6
PWY-5697	8
PWY-5695	3
PWY3O-4106	5
PWY-5691	6
PWY-5690	2
HOMOSERSYN-PWY	80
P221-PWY	11
PWY-66	20
PLPSAL-PWY	51
PWY-5136	3
VALDEG-PWY	37
PWY0-1338	3
PWY0-1335	10
PWY0-1334	34
PWY0-1337	28
PWY0-1336	1
PWY-5130	1
PWY-2622	3
HISTSYN-PWY	76
PWY-6384	1
PWY-6385	61
PWY-6386	13
PWY-6387	84
P23-PWY	2
ANAPHENOXI-PWY	5
SUCSYN-PWY	7
PWY-6388	1
PWY-6389	62
PWY-5874	1
PWY-4441	36
GLYCEROLMETAB-PWY	20
P381-PWY	57
TRYPDEG-PWY	7
PWY-4722	10
PWY0-1483	1
PWY0-1482	1
ASPARTATE-DEG1-PWY	30
PWY-6185	18
PWY0-1487	1
PWY-6028	8
PWY-5154	1
PWY-6021	4
PWY0-1241	30
CALVIN-PWY	23
PWY-6499	3
DHGLUCONATE-PYR-CAT-PWY	5
GLUDEG-II-PWY	2
P641-PWY	18
PWY-5143	51
PWY-6163	2
PWY0-1301	20
PWY-3841	69
PWY-5005	2
PWY0-1303	2
PWY-5103	1
ANARESP1-PWY	84
P105-PWY	11
ARGDEG-V-PWY	3
CHLOROPHYLL-SYN	45
TRPSYN-PWY	78
PWY-43	6
PWY-40	16
PWY-46	19
PWY0-862	59
TRNA-CHARGING-PWY	88
CYANCAT-PWY	12
PWY-1622	18
PWY0-1415	57
PWY-6178	1
PWY-5663	11
PWY-4984	1
GLUCONSUPER-PWY	27
PWY-5521	12
PWY-4983	7
P344-PWY	24
PWY-5661	44
PWY-761	2
P483-PWY	6
PWY-5705	1
PWY-5704	31
PWY-5508	61
DRIBOPMET-PWY	1
PWY-5703	21
ANAEROFRUCAT-PWY	79
PWY-6336	22
PWY-5886	3
PWY-6330	3
PWY-6333	1
PWY-5097	12
PWY-6339	3
PWY-5901	22
PWY-5907	1
P321-PWY	5
FOLSYN-PWY	88
PWY-1269	52
PCEDEG-PWY	1
PWY-5419	2
PWY-5418	2
PWY-5791	4
PWYG-321	2
PWY-5794	3
GLYCOLYSIS-TCA-GLYOX-BYPASS	9
PWY0-1465	1
PWY0-1466	6
GLUTAMINEFUM-PWY	42
GLYCOLYSIS	88
GALACTMETAB-PWY	3
CYCLOHEXANOL-OXIDATION-PWY	3
PWY-5177	37
TRESYN-PWY	21
PWY-5670	3
PWY-5673	10
PWY-5675	1
MENAQUINONESYN-PWY	25
PWY-5677	4
PWY-5676	44
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	14
PWY-743	1
GLYCOGENSYNTH-PWY	48
PWY-6044	1
CITRULBIO-PWY	3
PWY-5382	10
PWY-6344	16
PWY-5384	8
PWY-5386	44
PWY-6348	29
PWY-5885	1
GLYCINE-SYN2-PWY	1
PWY-5837	45
PWY-5833	2
PWY-5831	2
GALLATE-DEGRADATION-II-PWY	4
MALATE-ASPARTATE-SHUTTLE-PWY	27
PWY-4121	5
PWY-5839	8
PWY-1801	10
P562-PWY	11
QUINATEDEG-PWY	1
PWY0-1321	3
LACTOSEUTIL-PWY	5
CYSTSYN-PWY	77
PWY-2	1
PYRUVDEHYD-PWY	48
P184-PWY	13
FASYN-INITIAL-PWY	4
BGALACT-PWY	28
GLUTATHIONESYN-PWY	48
P261-PWY	3
ARGDEGRAD-PWY	19
PWY-901	1
ASPARAGINE-BIOSYNTHESIS	54
PWY-5104	1
PWY-5197-1	1
HEMESYN2-PWY	69
PWY-6012	75
PWY-3781	62
PHESYN	15
PWY-6517	7
PWY-6184	4
PWY-5429	1
PWY-6512	5
TRPIAACAT-PWY	1
PWY-6183	6
PWY0-1485	1
ALANINE-DEG3-PWY	1
GLYSYN-PWY	87
PWY-6158	2
PWY-1701	1
PWY-6154	1
PWY-6151	55
PWY-5484	81
PWY-6153	28
PWY1-2	42
PWY1-3	16
GDPRHAMSYN-PWY	15
PWY-6013	3
PWY-6018	61
CHE-PWY	1
PWY-801	2
PWY0-1296	44
PWY0-1297	43
PWY0-1295	35
ENTNER-DOUDOROFF-PWY	32
P542-PWY	4
PWY-5481	19
PWY0-1298	66
PWY0-1299	28
PWY-5350	25
TREDEGLOW-PWY	15
PWY-5486	3
PWY-5354	24
PWY-5427	6
PWY-5428	1
OXIDATIVEPENT-PWY	61
PWY-5358	3
ARG-GLU-PWY	15
PWY-5057	30
PWY0-321	27
TYRSYN	56
COBALSYN-PWY	23
PWY-5946	1
PWY-5944	6
PWY-5943	6
CITRULLINE-DEG-PWY	71
PWY-5941	61
PWY-5940	2
PWY-6120	3
PWY-6121	82
PWY-6122	56
PWY-6123	13
PWY-6124	84
PWY-6125	88
PWY-6126	87
FUCCAT-PWY	20
PWY490-6	1
DTDPRHAMSYN-PWY	66
HOMOCYSDEGR-PWY	15
PWY0-521	2
PWY0-522	31
PWY-5512	4
PWY3O-246	1
PWY-5651	15
PWY-6200	1
GALACTARDEG-PWY	22
ARO-PWY	80
PWY-5630	2
PWY-5633	1
KDO-NAGLIPASYN-PWY	17
P283-PWY	12
PWY-5737	22
PWY-2503	3
PWY-6463	1
PWY0-541	43
PWY-1081	2
PWY-5739	3
PWY0-1477	2
PWY-5426	5
PWY-6269	42
PWY-6268	47
PWY-283	5
GLNSYN-PWY	79
PWY-723	12
GAMMAHEXCHLORDEG-PWY	2
PWY-5283	2
PWY1G-170	1
2ASDEG-PWY	9
PWY-5278	4
P106-PWY	1
UDPNAGSYN-PWY	85
PWY-6556	1
PWY-3661	1
PWY-5120	15
